Date,total_lmp,node_name
7/2/2022 5:00:00 AM,42.81592,CHICAGO GEN HUB
7/2/2022 5:00:00 AM,43.46587,CHICAGO HUB
7/2/2022 5:00:00 AM,46.16624,DOMINION HUB
7/2/2022 5:00:00 AM,46.22623,EASTERN HUB
7/2/2022 5:00:00 AM,43.15927,N ILLINOIS HUB
7/2/2022 5:00:00 AM,45.78968,NEW JERSEY HUB
7/2/2022 5:00:00 AM,45.09552,OHIO HUB
7/2/2022 5:00:00 AM,45.25944,WEST INT HUB
7/2/2022 5:00:00 AM,45.71374,WESTERN HUB
7/2/2022 6:00:00 AM,43.03421,AEP GEN HUB
7/2/2022 6:00:00 AM,43.88574,AEP-DAYTON HUB
7/2/2022 6:00:00 AM,43.96590,ATSI GEN HUB
7/2/2022 6:00:00 AM,41.58415,CHICAGO GEN HUB
7/2/2022 6:00:00 AM,42.22581,CHICAGO HUB
7/2/2022 6:00:00 AM,44.93169,DOMINION HUB
7/2/2022 6:00:00 AM,45.40053,EASTERN HUB
7/2/2022 6:00:00 AM,41.91881,N ILLINOIS HUB
7/2/2022 6:00:00 AM,44.86815,NEW JERSEY HUB
7/2/2022 6:00:00 AM,43.93443,OHIO HUB
7/2/2022 6:00:00 AM,44.12555,WEST INT HUB
7/2/2022 6:00:00 AM,44.74687,WESTERN HUB
7/2/2022 7:00:00 AM,44.28894,AEP GEN HUB
7/2/2022 7:00:00 AM,45.25057,AEP-DAYTON HUB
7/2/2022 7:00:00 AM,45.31954,ATSI GEN HUB
7/2/2022 7:00:00 AM,42.92115,CHICAGO GEN HUB
7/2/2022 7:00:00 AM,43.60406,CHICAGO HUB
7/2/2022 7:00:00 AM,46.05422,DOMINION HUB
7/2/2022 7:00:00 AM,46.63622,EASTERN HUB
7/2/2022 7:00:00 AM,43.28546,N ILLINOIS HUB
7/2/2022 7:00:00 AM,46.22395,NEW JERSEY HUB
7/2/2022 7:00:00 AM,45.32106,OHIO HUB
7/2/2022 7:00:00 AM,45.48833,WEST INT HUB
7/2/2022 7:00:00 AM,46.36270,WESTERN HUB
7/2/2022 8:00:00 AM,53.56236,AEP GEN HUB
7/2/2022 8:00:00 AM,54.89605,AEP-DAYTON HUB
7/2/2022 8:00:00 AM,55.31181,ATSI GEN HUB
7/2/2022 8:00:00 AM,52.26538,CHICAGO GEN HUB
7/2/2022 8:00:00 AM,53.13711,CHICAGO HUB
